catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0181,Chile,CL,"Chile","INAPI Trademark Register",https://ion.inapi.cl/Marca/BuscarMarca.aspx,https://ion.inapi.cl/Marca/BuscarMarca.aspx,https://ion.inapi.cl/,https://ion.inapi.cl/Marca/BuscarMarca.aspx,https://www.inapi.cl/sala-de-prensa/boletines,https://www.inapi.cl/sala-de-prensa/boletines,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"ION system; stable structured UI; no API exposure."
TMK-0182,Colombia,CO,"Colombia","SIC SIPI Trademark System",https://sipi.sic.gov.co/sipi/Extra/Default.aspx,https://sipi.sic.gov.co/sipi/Extra/Default.aspx,https://sipi.sic.gov.co/sipi/,https://sipi.sic.gov.co/sipi/Extra/Default.aspx,https://sedeelectronica.sic.gov.co/publicaciones/boletin-propiedad-industrial,https://sedeelectronica.sic.gov.co/publicaciones/boletin-propiedad-industrial,No API,No docs,No bulk,HTML UI,Session pagination,Mark / owner / class / filing number,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Dynamic portal; requires session token handling."
TMK-0183,Peru,PE,"Peru","INDECOPI Trademark Search",https://enlinea.indecopi.gob.pe/buscatuMarca/,https://enlinea.indecopi.gob.pe/buscatuMarca/,https://servicio.indecopi.gob.pe/sel/,https://enlinea.indecopi.gob.pe/buscatuMarca/,https://servicio.indecopi.gob.pe/gaceta/,https://servicio.indecopi.gob.pe/gaceta/,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Modern UI; fairly scrapeable."
TMK-0184,Germany,DE,"Germany","DPMAregister",https://register.dpma.de/DPMAregister/marke/basis,https://register.dpma.de/DPMAregister/marke/basis,https://www.dpma.de/english/trade_marks/apply/,https://register.dpma.de/DPMAregister/marke/basis,https://register.dpma.de/DPMAregister/marke/trefferliste,https://register.dpma.de/DPMAregister/marke/trefferliste,No API,Data center docs exist,Limited bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Advanced filtering; one of the better EU systems."
TMK-0185,France,FR,"France","INPI Data Platform",https://data.inpi.fr/search,https://data.inpi.fr/search,https://procedures.inpi.fr/,https://data.inpi.fr/search,https://data.inpi.fr/publications,https://data.inpi.fr/publications,API available,Docs available,Partial bulk,JSON + UI,API + UI paging,Mark / owner / class / status,hybrid,API key required,Published,Yes,Yes,Daily,active,2026-07-20,"Hybrid API + UI system; one of few true API-capable jurisdictions."
TMK-0188,Italy,IT,"Italy","UIBM Trademark Database",https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,https://uibm.mise.gov.it/,https://uibm.mise.gov.it/index.php/it/servizi/banche-dati,No verified gazette,No journal,No API,No docs,No bulk,HTML UI,Unknown pagination,Mark / owner / class,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Unstable endpoints; scraping unreliable."
TMK-0189,Portugal,PT,"Portugal","INPI Portugal Trademark Search",https://inpi.justica.gov.pt/Servicos/Marcas/Pesquisa-de-Marcas,https://inpi.justica.gov.pt/Servicos/Marcas/Pesquisa-de-Marcas,https://inpi.justica.gov.pt/,https://inpi.justica.gov.pt/Servicos/Marcas/Pesquisa-de-Marcas,https://inpi.justica.gov.pt/Publicacoes/Boletim-da-Propriedade-Industrial,https://inpi.justica.gov.pt/Publicacoes/Boletim-da-Propriedade-Industrial,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Structured UI; consistent."
TMK-0190,Ireland,IE,"Ireland","IPOI eRegister",https://eregister.ipoi.gov.ie/,https://eregister.ipoi.gov.ie/,https://ipoi.my.site.com/,https://eregister.ipoi.gov.ie/,https://www.ipoi.gov.ie/en/publications/official-journal/,https://www.ipoi.gov.ie/en/publications/official-journal/,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Clean EU system; good consistency."
TMK-0191,Switzerland,CH,"Switzerland","IPI Swissreg",https://www.swissreg.ch/srclient/faces/jsp/start.jsp,https://www.swissreg.ch/srclient/faces/jsp/start.jsp,https://www.ige.ch/en/services/ip-rights/trade-marks,https://www.swissreg.ch/srclient/faces/jsp/start.jsp,https://www.swissreg.ch/srclient/faces/jsp/publication,https://www.swissreg.ch/srclient/faces/jsp/publication,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"Very stable; good scraping candidate."
TMK-0192,Turkey,TR,"Turkey","TurkPatent Trademark Search",https://www.turkpatent.gov.tr/arastirma-yap?form=trademark,https://www.turkpatent.gov.tr/arastirma-yap?form=trademark,https://epats.turkpatent.gov.tr/,https://www.turkpatent.gov.tr/arastirma-yap?form=trademark,https://www.turkpatent.gov.tr/resmi-marka-bulteni,https://www.turkpatent.gov.tr/resmi-marka-bulteni,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Standard EU-style portal."
