catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0201,European Union,EU,"European Union (Regional)","EUIPO eSearch Plus",https://euipo.europa.eu/ohimportal/en/search-availability,https://euipo.europa.eu/ohimportal/en/search-availability,https://euipo.europa.eu/ohimportal/en/apply-now,https://euipo.europa.eu/ohimportal/en/search-availability,https://euipo.europa.eu/ohimportal/en/trade-marks-bulletin,https://euipo.europa.eu/ohimportal/en/trade-marks-bulletin,No public API for eSearch,Developer APIs exist separately,Limited bulk via EU datasets,HTML UI,Page + filter pagination,Mark / owner / class / status / EUIPO ID,public_portal,No login required,Not published,Yes,Yes,Daily,active,2026-07-20,"One of the most structured systems; API exists but separate from eSearch; scraping is stable."
TMK-0207,Italy,IT,"Italy","UIBM Trademark Office",https://uibm.mimit.gov.it,https://uibm.mimit.gov.it,https://uibm.mimit.gov.it,https://uibm.mimit.gov.it,No verified gazette,No journal,No API,No docs,No bulk,HTML portal,N/A,N/A,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Homepage-level system; actual search buried; unreliable endpoints."
TMK-0209,Ireland,IE,"Ireland","IPOI Trademark Office",https://www.ipoi.gov.ie,https://www.ipoi.gov.ie,https://www.ipoi.gov.ie/en/trade-marks/,https://eregister.ipoi.gov.ie/,https://www.ipoi.gov.ie/en/publications/official-journal/,https://www.ipoi.gov.ie/en/publications/official-journal/,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Actual registry is eRegister; homepage is informational."
TMK-0216,Slovakia,SK,"Slovakia","Industrial Property Office",https://www.indprop.gov.sk/en,https://www.indprop.gov.sk/en,https://www.indprop.gov.sk/en/services,https://wbr.indprop.gov.sk/WebRegistre/Trademark/Search,https://www.indprop.gov.sk/en/publications,https://www.indprop.gov.sk/en/publications,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Actual search is WebRegistre; homepage is informational."
TMK-0220,Slovenia,SI,"Slovenia","SIPO Trademark Office",https://www.uil-sipo.si/en,https://www.uil-sipo.si/en,https://www.uil-sipo.si/en,https://www2.uil-sipo.si/dse.htm,No gazette,No journal,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,No,Periodic,active,2026-07-20,"Legacy system; actual database separate from homepage."
TMK-0223,Benelux,BX,"Benelux (Regional)","BOIP",https://www.boip.int/en,https://www.boip.int/en,https://www.boip.int/en/trademarks-register,https://www.boip.int/en/trademarks-register,https://www.boip.int/en/ip-professionals/registers-and-publications,https://www.boip.int/en/ip-professionals/registers-and-publications,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"BOIP is actual registry; homepage used as anchor."
TMK-0228,Israel,IL,"Israel","Trademark Department",https://www.gov.il/en/departments/topics/trademarks,https://www.gov.il/en/departments/topics/trademarks,https://trademarks.justice.gov.il/,https://trademarks.justice.gov.il/,https://www.gov.il/en/departments/publications,https://www.gov.il/en/departments/publications,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,Yes,Weekly,active,2026-07-20,"Homepage informational; actual search is justice portal."
TMK-0231,Singapore,SG,"Singapore","IPOS Digital Hub Basic Search",https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_BasicSearch,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_BasicSearch,https://www.ipos.gov.sg/resources/e-services/apply,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_BasicSearch,No gazette,No journal,No API,No docs,No bulk,HTML UI,Session-based,Mark / owner / representative / number,restricted_portal,Login required,Not published,Yes,Yes,Daily,active,2026-07-20,"Modern digital hub; requires authentication."
TMK-0232,Singapore,SG,"Singapore","IPOS Similar Mark Search",https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmSimilarMarkSearch,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmSimilarMarkSearch,https://www.ipos.gov.sg/resources/e-services/apply,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmSimilarMarkSearch,No gazette,No journal,No API,No docs,No bulk,HTML UI,Session-based,Image/text similarity queries,restricted_portal,Login required,Not published,Yes,Yes,Daily,active,2026-07-20,"Supports similarity search; rare capability."
TMK-0233,Singapore,SG,"Singapore","IPOS Goods & Services Search",https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmIcgsSearch,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmIcgsSearch,https://www.ipos.gov.sg/resources/e-services/apply,https://digitalhub.ipos.gov.sg/FAMN/eservice/IP4SG/MN_TmIcgsSearch,No gazette,No journal,No API,No docs,No bulk,HTML UI,Session-based,Class / goods / services,restricted_portal,Login required,Not published,Yes,No,Daily,active,2026-07-20,"Dedicated Nice classification search tool."
