catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0244,Vietnam,VN,"Vietnam","IP Vietnam Trademarks Portal",https://www.ipvietnam.gov.vn/en_US/web/english/trademarks,https://www.ipvietnam.gov.vn/en_US/web/english/trademarks,https://www.ipvietnam.gov.vn/en_US/web/english/trademarks,http://iplib.noip.gov.vn/WebUI/WSearch.php,No structured gazette verified,http://iplib.noip.gov.vn/WebUI/WPublication.php,No API,No docs,No bulk,HTML + PDF,Page navigation,Mark / owner / class,public_portal,No login,Not published,Yes,No,Weekly,active,2026-07-20,"Portal is informational; real searchable registry is IPLib (legacy system)."
TMK-0245,Vietnam,VN,"Vietnam","IP Vietnam Examination Procedure",https://www.ipvietnam.gov.vn/web/english/trademark-examination-procedure,https://www.ipvietnam.gov.vn/web/english/trademark-examination-procedure,https://www.ipvietnam.gov.vn/web/english/trademarks,http://iplib.noip.gov.vn/WebUI/WSearch.php,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Procedure info,public_portal,No login,Not published,Yes,No,Ad hoc,active,2026-07-20,"Pure documentation endpoint; not usable for scraping records."
TMK-0246,Vietnam,VN,"Vietnam","IP Vietnam Search Request",https://www.ipvietnam.gov.vn/web/english/statistic/-/asset_publisher/lkBHulAdnfEF/content/request-for-trademark-search,https://www.ipvietnam.gov.vn/web/english/statistic/-/asset_publisher/lkBHulAdnfEF/content/request-for-trademark-search,https://www.ipvietnam.gov.vn/web/english/trademarks,http://iplib.noip.gov.vn/WebUI/WSearch.php,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Request-based search info,manual,Manual submission,N/A,Yes,No,Ad hoc,active,2026-07-20,"Search requires formal request; no direct API/UI access."
TMK-0247,Vietnam,VN,"Vietnam","IP Vietnam Well-Known Marks",https://ipvietnam.gov.vn/web/english/well-known-trademarks,https://ipvietnam.gov.vn/web/english/well-known-trademarks,https://www.ipvietnam.gov.vn/en_US/web/english/trademarks,http://iplib.noip.gov.vn/WebUI/WSearch.php,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Reference data,public_portal,No login,Not published,Yes,No,Ad hoc,active,2026-07-20,"Reference list only; not a searchable system."
TMK-0248,ASEAN,ASEAN,"ASEAN (Regional)","ASEAN IP Portal",https://www.aseanip.org,https://www.aseanip.org,https://www.aseanip.org,https://www.aseanip.org,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Portal navigation,public_portal,No login,Not published,Partial,No,Periodic,active,2026-07-20,"Aggregates ASEAN IP data; not a primary registry."
TMK-0249,ASEAN,ASEAN,"ASEAN (Regional)","ASEAN IP Office Directory",https://www.aseanip.org/resources/asean-ip-offices-details,https://www.aseanip.org/resources/asean-ip-offices-details,https://www.aseanip.org,https://www.aseanip.org/resources/asean-ip-offices-details,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,Directory listing,public_portal,No login,Not published,No,No,Periodic,active,2026-07-20,"Directory only; no trademark data."
TMK-0252,Laos,LA,"Laos","Department of Intellectual Property Laos",https://dip.gov.la,https://dip.gov.la,https://dip.gov.la,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No public searchable trademark system verified."
TMK-0253,Myanmar,MM,"Myanmar","IP Department Myanmar",https://www.ipd.gov.mm,https://www.ipd.gov.mm,https://www.ipd.gov.mm,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"New system; no public searchable database confirmed."
TMK-0254,Malaysia,MY,"Malaysia","MyIPO Portal",https://www.myipo.gov.my,https://www.myipo.gov.my,https://www.myipo.gov.my,https://iponline.myipo.gov.my/IPO/search,https://www.myipo.gov.my/en/publication/,https://www.myipo.gov.my/en/publication/,No API,No docs,No bulk,HTML UI,Page navigation,Mark / owner / class,public_portal,Login optional,Not published,Yes,No,Weekly,active,2026-07-20,"Portal + separate search system."
TMK-0256,South Korea,KR,"South Korea","KIPRIS Trademark Search",https://eng.kipris.or.kr/enghome/main.jsp,https://eng.kipris.or.kr/enghome/main.jsp,https://www.kipo.go.kr/en,https://eng.kipris.or.kr/enghome/main.jsp,No gazette,No journal,No API,No docs,No bulk,HTML UI,Session pagination,Mark / owner / class / filing number,public_portal,No login,Not published,Yes,Yes,Daily,active,2026-07-20,"One of the best structured Asian systems."
