catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,registry_url,gazette_url,journal_url,api_url,api_docs_url,bulk_download_url,response_format,pagination,query_parameters,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0292,ARIPO,ARIPO,"ARIPO (Regional)","ARIPO e-Services",https://eservice.aripo.org,https://eservice.aripo.org,https://eservice.aripo.org,No public registry verified,No gazette,No journal,No API,No docs,No bulk,HTML portal,N/A,Portal navigation,restricted_portal,Login required,N/A,Yes,No,Ad hoc,active,2026-07-20,"Filing-focused system; no public searchable trademark database."
TMK-0298,Egypt,EG,"Egypt","ITIDA IP Portal",https://www.itida.gov.eg,https://www.itida.gov.eg,https://www.itida.gov.eg,No public registry verified,No gazette,No journal,No API,No docs,No bulk,HTML portal,N/A,Portal navigation,public_portal,No login,Not published,Yes,No,Ad hoc,active,2026-07-20,"High-level portal; no verified trademark search endpoint."
TMK-0301,Algeria,DZ,"Algeria","INAPI",https://www.inapi.org,https://www.inapi.org,https://www.inapi.org,No public search verified,No gazette,No journal,Possible internal API,No public docs,No bulk,HTML portal,N/A,Portal navigation,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"REST mention exists but no public API endpoints verified."
TMK-0302,Ethiopia,ET,"Ethiopia","EIPA",https://www.eipa.gov.et,https://www.eipa.gov.et,https://www.eipa.gov.et,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No digital trademark search system identified."
TMK-0303,Rwanda,RW,"Rwanda","RDB IP Services",https://rdb.rw,https://rdb.rw,https://rdb.rw,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"IP services integrated into broader business system."
TMK-0304,Uganda,UG,"Uganda","URSB",https://ursb.go.ug,https://ursb.go.ug,https://ursb.go.ug,No verified public registry endpoint,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Registry exists but public search endpoint not verified."
TMK-0305,Tanzania,TZ,"Tanzania","BRELA",https://www.brela.go.tz,https://www.brela.go.tz,https://www.brela.go.tz,No verified search endpoint,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Combined business registry; trademark access limited."
TMK-0306,Zambia,ZM,"Zambia","PACRA",https://www.pacra.org.zm,https://www.pacra.org.zm,https://www.pacra.org.zm,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Trademark services available but not publicly searchable."
TMK-0307,Zimbabwe,ZW,"Zimbabwe","CIPA Zimbabwe",https://www.cipa.co.zw,https://www.cipa.co.zw,https://www.cipa.co.zw,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No public search system confirmed."
TMK-0308,Botswana,BW,"Botswana","CIPA Botswana",https://www.cipa.co.bw,https://www.cipa.co.bw,https://www.cipa.co.bw,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Portal only; no structured search."
TMK-0309,Namibia,NA,"Namibia","BIPA",https://www.bipa.na,https://www.bipa.na,https://www.bipa.na,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Limited digital access."
TMK-0310,Mauritius,MU,"Mauritius","Industrial Property Office",https://foreign.govmu.org,https://foreign.govmu.org,https://foreign.govmu.org,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"IP services embedded in ministry portal."
TMK-0311,Seychelles,SC,"Seychelles","eGov IP Services",https://www.egov.sc,https://www.egov.sc,https://www.egov.sc,No public registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Digital services portal; search not exposed."
TMK-0312,Mozambique,MZ,"Mozambique","IPI Mozambique",https://www.ipi.gov.mz,https://www.ipi.gov.mz,https://www.ipi.gov.mz,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"IP institute; no public DB confirmed."
TMK-0313,Angola,AO,"Angola","IAPI",https://www.iapi.ao,https://www.iapi.ao,https://www.iapi.ao,No public search verified,No gazette,No journal,Possible internal API,No public docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"REST mention but no accessible API endpoints."
TMK-0314,Malawi,MW,"Malawi","Registrar General",https://www.registrargeneral.gov.mw,https://www.registrargeneral.gov.mw,https://www.registrargeneral.gov.mw,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No digital trademark search."
TMK-0315,Lesotho,LS,"Lesotho","Registrar General",https://www.gov.ls,https://www.gov.ls,https://www.gov.ls,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Manual registry."
TMK-0316,Eswatini,SZ,"Eswatini","Registrar General",https://www.gov.sz,https://www.gov.sz,https://www.gov.sz,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No structured digital system."
TMK-0317,Madagascar,MG,"Madagascar","OMAPI",https://www.omapi.mg,https://www.omapi.mg,https://www.omapi.mg,No public search verified,No gazette,No journal,Possible internal API,No public docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"Mentions of API but not publicly accessible."
TMK-0318,Sudan,SD,"Sudan","Ministry of Justice IP Office",https://moj.gov.sd,https://moj.gov.sd,https://moj.gov.sd,No searchable registry verified,No gazette,No journal,No API,No docs,No bulk,HTML,N/A,N/A,manual,Manual access,N/A,Yes,No,Ad hoc,active,2026-07-20,"No digital trademark system confirmed."
