catalog_id,country,country_code,jurisdiction,office,search_url,status_lookup_url,filing_url,gazette_url,api_url,api_docs_url,bulk_download_url,access_type,authentication,rate_limit,supports_nice_classes,supports_image_search,update_frequency,status,last_verified,notes
TMK-0001,,US,national,USPTO Trademark Search,https://tmsearch.uspto.gov,,,,,,,search,,,,,,active,,Official United States federal trademark search portal.
TMK-0002,,US,national,USPTO TSDR API,,,,,https://developer.uspto.gov/api-catalog/tsdr-data-api,,,rest_api,,,,,,active,,"Programmatic access to USPTO trademark status, prosecution documents, and images."
TMK-0003,,US,national,USPTO Open Data Portal APIs,,,,,https://data.uspto.gov/apis,,,rest_api,,,,,,active,,USPTO API catalog covering trademark and other intellectual-property datasets.
TMK-0004,,US,national,USPTO Open Data Bulk Data Search API,,,,,https://data.uspto.gov/apis/bulk-data/search,,,rest_api,,,,,,active,,"API for searching USPTO public bulk-data products, including trademark datasets."
TMK-0005,,US,national,USPTO Trademark Bulk Data,,,,,,,https://www.uspto.gov/trademarks/apply/check-status-view-documents/trademark-bulk-data,bulk_download,,,,,,active,,"Official USPTO trademark application, registration, assignment, and proceeding bulk datasets."
TMK-0006,,US,national,USPTO Trademark Official Gazette,,,,https://tmog.uspto.gov,,,,gazette,,,,,,active,,Weekly publication of marks approved for publication and opposition.
TMK-0007,,US,national,USPTO Trademark Assignment Search,https://assignment.uspto.gov,,,,,,,search,,,,,,active,,Search recorded trademark assignments and ownership transfers.
TMK-0008,,US,national,USPTO TTABVUE,https://ttabvue.uspto.gov/ttabvue,,,,,,,portal,,,,,,active,,Trademark Trial and Appeal Board proceeding records and filings.
TMK-0009,,US,national,USPTO Trademark ID Manual,https://idm-tmng.uspto.gov/id-master-list-public.html,,,,,,,portal,,,,,,active,,USPTO acceptable identification of goods and services manual.
TMK-0010,,US,national,USPTO Nice Classification,https://www.uspto.gov/trademarks/guides-and-manuals/nice-agreement-current-edition-version-general-remarks-class-headings,,,,,,,portal,,,,,,active,,Current Nice Classification guidance and class headings used by USPTO.
